Indicador;Comunidades y ciudades autónomas;Sexo;Total
Número de estudiantes;Castilla - La Mancha;Ambos sexos;691.839
Número de estudiantes;Castilla - La Mancha;Hombres;355.624
Número de estudiantes;Castilla - La Mancha;Mujeres;336.215
Número de estudiantes;Cataluña;Ambos sexos;2.161.017
Número de estudiantes;Cataluña;Hombres;1.073.313
Número de estudiantes;Cataluña;Mujeres;1.087.704
Número de estudiantes;Comunitat Valenciana;Ambos sexos;1.484.472
Número de estudiantes;Comunitat Valenciana;Hombres;680.447
Número de estudiantes;Comunitat Valenciana;Mujeres;804.025
Número de estudiantes;Extremadura;Ambos sexos;253.362
Número de estudiantes;Extremadura;Hombres;128.367
Número de estudiantes;Extremadura;Mujeres;124.995
Número de estudiantes;Galicia;Ambos sexos;631.483
Número de estudiantes;Galicia;Hombres;307.274
Número de estudiantes;Galicia;Mujeres;324.209
Número de estudiantes;Madrid, Comunidad de;Ambos sexos;2.204.192
Número de estudiantes;Madrid, Comunidad de;Hombres;1.044.576
Número de estudiantes;Madrid, Comunidad de;Mujeres;1.159.616
Número de estudiantes;Murcia, Región de;Ambos sexos;473.728
Número de estudiantes;Murcia, Región de;Hombres;229.081
Número de estudiantes;Murcia, Región de;Mujeres;244.647
Número de estudiantes;Navarra, Comunidad Foral de;Ambos sexos;176.454
Número de estudiantes;Navarra, Comunidad Foral de;Hombres;89.473
Número de estudiantes;Navarra, Comunidad Foral de;Mujeres;86.980
Número de estudiantes;País Vasco;Ambos sexos;609.184
Número de estudiantes;País Vasco;Hombres;298.032
Número de estudiantes;País Vasco;Mujeres;311.152
Número de estudiantes;Rioja, La;Ambos sexos;85.503
Número de estudiantes;Rioja, La;Hombres;37.408
Número de estudiantes;Rioja, La;Mujeres;48.095
Número de estudiantes;Ceuta;Ambos sexos;22.864
Número de estudiantes;Ceuta;Hombres;19.914
Número de estudiantes;Ceuta;Mujeres;..
Número de estudiantes;Melilla;Ambos sexos;54.041
Número de estudiantes;Melilla;Hombres;19.117
Número de estudiantes;Melilla;Mujeres;34.924
